first,second,third,forth,Class
804,908,969,1020,0
804,908,969,1020,0
806,909,969,1021,0
808,909,968,1021,0
811,908,968,1020,0
811,908,969,1021,0
810,908,970,1021,0
809,908,970,1019,0
808,908,969,1020,0
806,908,970,1021,0
806,908,969,1021,0
806,908,970,1021,0
805,908,969,1020,0
804,908,970,1020,0
803,908,969,1021,0
803,907,969,1021,0
803,908,969,1021,0
803,907,969,1022,0
804,908,968,1020,0
805,907,969,1021,0
806,908,969,1021,0
807,908,970,1021,0
808,908,969,1021,0
807,907,969,1021,0
807,908,969,1021,0
808,907,969,1021,0
808,908,969,1021,0
808,908,969,1020,0
808,907,969,1021,0
806,907,969,1020,0
806,907,970,1021,0
806,907,969,1021,0
805,907,969,1020,0
806,907,968,1021,0
806,908,969,1020,0
805,907,968,1020,0
806,907,969,1021,0
806,907,969,1020,0
806,906,969,1020,0
806,907,969,1021,0
807,907,970,1021,0
808,907,969,1020,0
808,907,969,1020,0
806,907,969,1020,0
806,907,969,1020,0
809,907,969,1020,0
812,907,969,1020,0
814,906,969,1020,0
818,906,970,1020,0
817,907,969,1021,0
815,907,969,1021,0
817,907,969,1020,0
815,906,969,1020,0
813,907,969,1020,0
814,907,969,1020,0
814,907,969,1021,0
816,907,968,1019,0
816,907,968,1021,0
811,906,969,1020,0
807,906,968,1021,0
806,907,968,1020,0
802,907,968,1020,0
799,905,968,1020,0
799,905,968,1020,0
803,907,968,1020,0
808,907,968,1021,0
807,906,968,1020,0
808,907,969,1020,0
809,907,968,1020,0
810,906,968,1020,0
809,907,969,1020,0
809,906,969,1020,0
809,906,969,1021,0
812,906,969,1020,0
816,906,968,1021,0
819,906,969,1021,0
822,906,969,1021,0
817,906,969,1021,0
818,906,969,1020,0
818,907,969,1021,0
818,907,970,1020,0
817,906,969,1021,0
814,906,968,1020,0
812,906,969,1021,0
811,905,969,1020,0
814,906,969,1020,0
816,906,969,1020,0
817,906,970,1019,0
815,906,969,1020,0
814,906,969,1021,0
814,905,968,1020,0
814,905,969,1020,0
813,905,968,1021,0
810,905,969,1020,0
806,906,969,1020,0
805,905,968,1021,0
803,906,968,1021,0
803,906,968,1021,0
802,906,968,1020,0
802,905,968,1021,0
805,906,968,1021,0
805,905,968,1021,0
806,906,968,1020,0
807,906,968,1020,0
807,906,968,1020,0
809,906,968,1021,0
808,906,968,1021,0
806,905,969,1021,0
805,906,968,1020,0
805,905,968,1020,0
806,906,968,1021,0
806,906,968,1021,0
805,905,968,1019,0
803,905,968,1020,0
802,905,968,1021,0
802,906,968,1021,0
801,905,967,1020,0
800,905,968,1020,0
799,906,967,1021,0
799,906,967,1020,0
799,906,967,1020,0
797,906,968,1021,0
798,905,967,1020,0
796,906,967,1021,0
796,905,968,1020,0
796,905,967,1020,0
796,906,966,1021,0
796,905,967,1020,0
796,906,967,1020,0
796,906,967,1021,0
797,906,967,1020,0
796,906,967,1020,0
795,906,966,1020,0
794,906,967,1020,0
794,906,966,1021,0
794,905,968,1020,0
794,905,967,1020,0
793,906,967,1020,0
793,906,967,1021,0
792,905,967,1021,0
791,905,967,1021,0
791,906,967,1020,0
791,905,967,1020,0
793,906,967,1020,0
794,906,966,1021,0
795,905,968,1020,0
793,906,967,1021,0
794,906,967,1020,0
796,905,967,1020,0
798,905,968,1020,0
800,905,968,1020,0
799,906,967,1021,0
799,906,968,1019,0
798,905,967,1020,0
799,905,968,1020,0
799,905,967,1020,0
800,905,968,1020,0
799,904,967,1021,0
799,906,968,1020,0
799,905,967,1021,0
799,904,968,1020,0
800,905,967,1020,0
800,904,967,1020,0
800,905,967,1020,0
801,906,967,1020,0
803,904,967,1020,0
804,904,968,1020,0
801,905,968,1020,0
796,905,967,1020,0
795,904,967,1020,0
797,904,967,1020,0
794,905,966,1020,0
793,904,967,1020,0
792,904,967,1020,0
791,905,966,1020,0
789,904,967,1020,0
789,905,966,1021,0
787,904,966,1020,0
787,905,966,1020,0
790,905,966,1020,0
792,905,967,1020,0
794,905,967,1020,0
795,904,967,1021,0
800,904,967,1020,0
805,904,967,1020,0
807,904,968,1020,0
807,905,968,1019,0
806,905,967,1021,0
808,904,968,1019,0
808,904,968,1019,0
805,904,968,1020,0
801,903,967,1020,0
797,903,967,1020,0
797,904,967,1020,0
798,903,967,1020,0
799,904,967,1019,0
800,904,967,1020,0
801,903,967,1021,0
801,904,966,1020,0
800,904,967,1020,0
800,904,967,1019,0
799,904,966,1020,0
797,904,967,1020,0
796,904,967,1020,0
793,904,967,1020,0
794,904,966,1019,0
793,904,966,1020,0
793,904,966,1020,0
792,904,965,1020,0
793,904,966,1021,0
793,904,966,1020,0
793,904,966,1020,0
794,904,966,1020,0
794,904,966,1020,0
795,904,966,1020,0
797,904,967,1020,0
798,904,966,1019,0
798,904,967,1021,0
799,904,966,1020,0
799,904,966,1020,0
799,904,966,1020,0
799,904,966,1021,0
798,903,967,1020,0
799,904,966,1020,0
798,903,967,1019,0
798,904,966,1020,0
797,903,966,1020,0
797,903,967,1020,0
796,903,966,1020,0
796,904,965,1020,0
795,904,966,1019,0
794,904,967,1019,0
791,904,966,1020,0
790,903,965,1020,0
789,903,966,1020,0
790,903,966,1020,0
791,904,966,1020,0
792,903,966,1021,0
794,903,966,1020,0
794,903,966,1020,0
795,904,965,1020,0
795,903,965,1020,0
795,903,966,1020,0
796,904,967,1019,0
797,903,966,1019,0
798,903,967,1020,0
798,903,966,1020,0
798,903,966,1019,0
797,903,966,1020,0
797,903,967,1020,0
797,903,966,1020,0
797,903,965,1020,0
797,903,966,1020,0
797,903,965,1020,0
798,903,966,1020,0
797,902,967,1020,0
797,902,967,1019,0
796,903,966,1020,0
794,903,966,1019,0
793,903,965,1020,0
791,903,966,1020,0
790,903,966,1019,0
789,903,966,1020,0
789,902,965,1020,0
787,903,965,1020,0
787,903,965,1020,0
787,903,965,1020,0
787,903,965,1020,0
786,903,965,1020,0
787,903,964,1020,0
787,903,965,1019,0
785,903,965,1020,0
785,904,965,1020,0
783,903,965,1020,0
782,903,964,1020,0
782,903,965,1020,0
783,903,965,1020,0
781,903,966,1020,0
785,903,965,1020,0
785,903,965,1020,0
790,903,966,1020,0
794,903,966,1020,0
799,902,966,1020,0
802,903,966,1020,0
799,903,966,1020,0
796,903,965,1020,0
793,903,965,1020,0
791,903,965,1020,0
794,903,966,1020,0
796,902,966,1020,0
797,903,965,1020,0
797,903,966,1020,0
797,902,966,1020,0
798,902,966,1020,0
797,902,966,1020,0
797,903,966,1020,0
795,902,966,1020,0
794,902,966,1020,0
792,902,965,1019,0
790,902,965,1019,0
788,902,966,1019,0
788,902,965,1020,0
788,902,965,1020,0
788,902,966,1020,0
790,903,965,1020,0
790,902,965,1020,0
792,902,965,1019,0
794,902,966,1020,0
796,902,966,1019,0
797,902,965,1019,0
799,902,966,1020,0
799,902,966,1020,0
800,902,965,1020,0
800,902,966,1020,0
800,902,966,1020,0
800,901,966,1019,0
799,901,966,1020,0
798,902,966,1019,0
798,902,965,1018,0
796,901,966,1020,0
795,901,965,1020,0
794,901,965,1020,0
793,901,965,1019,0
792,901,965,1020,0
791,902,965,1019,0
791,902,964,1020,0
789,902,965,1020,0
788,902,965,1019,0
788,902,964,1020,0
788,902,965,1020,0
790,902,965,1020,0
790,902,965,1020,0
793,902,965,1019,0
794,901,965,1020,0
795,902,965,1020,0
795,902,965,1020,0
794,902,965,1019,0
794,902,964,1020,0
795,902,966,1020,0
795,902,965,1020,0
795,902,966,1019,0
794,902,965,1019,0
794,901,965,1020,0
794,901,966,1020,0
794,902,964,1020,0
794,902,965,1019,0
794,901,966,1019,0
792,902,965,1019,0
793,902,965,1019,0
792,901,965,1020,0
793,902,964,1019,0
792,901,965,1019,0
792,902,966,1019,0
791,902,965,1020,0
791,902,964,1019,0
790,901,964,1019,0
789,901,964,1020,0
788,901,964,1019,0
787,901,964,1020,0
786,901,965,1019,0
785,901,965,1019,0
785,902,964,1019,0
784,901,964,1019,0
784,902,964,1020,0
785,901,964,1019,0
784,901,965,1019,0
785,901,964,1020,0
785,902,965,1020,0
786,901,964,1019,0
786,901,964,1020,0
787,901,964,1019,0
788,901,965,1019,0
787,901,964,1020,0
788,901,964,1019,0
788,900,966,1019,0
788,901,964,1019,0
787,901,964,1020,0
787,901,965,1020,0
787,901,965,1019,0
787,901,965,1019,0
788,902,964,1019,0
788,901,964,1019,0
787,901,964,1019,0
787,900,964,1019,0
786,901,964,1019,0
786,900,965,1019,0
785,901,964,1020,0
784,901,964,1020,0
784,902,964,1019,0
785,901,965,1020,0
785,901,964,1020,0
786,900,963,1019,0
786,901,964,1020,0
785,901,964,1019,0
785,901,964,1020,0
783,900,964,1020,0
783,900,964,1020,0
784,900,964,1019,0
786,901,964,1020,0
784,900,964,1019,0
783,900,964,1019,0
781,901,964,1019,0
782,901,964,1020,0
787,901,964,1019,0
791,901,964,1019,0
790,900,964,1019,0
787,900,964,1019,0
785,901,964,1019,0
783,900,964,1019,0
785,900,964,1020,0
785,900,964,1020,0
786,900,965,1019,0
785,901,964,1019,0
783,900,964,1020,0
782,900,964,1019,0
784,901,964,1019,0
790,900,963,1019,0
790,901,965,1019,0
786,900,965,1020,0
786,900,964,1020,0
785,900,964,1019,0
789,901,964,1020,0
791,900,964,1020,0
794,901,964,1020,0
794,900,964,1020,0
794,900,965,1019,0
793,899,964,1020,0
795,900,965,1019,0
795,900,965,1019,0
796,900,964,1019,0
796,900,965,1019,0
796,900,964,1019,0
794,900,964,1019,0
792,900,964,1019,0
794,900,964,1019,0
795,899,964,1020,0
796,899,964,1019,0
795,899,963,1019,0
792,898,964,1020,0
790,899,964,1019,0
790,899,962,1019,0
790,899,964,1019,0
789,900,964,1020,0
789,900,963,1019,0
790,900,963,1019,0
788,900,964,1020,0
789,900,963,1020,0
793,900,964,1020,0
796,900,964,1020,0
796,900,964,1019,0
794,899,965,1019,0
793,900,964,1019,0
792,899,964,1020,0
792,900,963,1020,0
793,899,964,1019,0
795,899,964,1019,0
798,900,965,1019,0
799,899,964,1019,0
798,899,965,1019,0
797,899,964,1018,0
794,899,964,1019,0
792,899,964,1018,0
790,899,963,1020,0
788,899,963,1019,0
786,899,963,1019,0
785,900,963,1018,0
784,900,963,1019,0
783,900,964,1019,0
782,899,963,1019,0
781,900,964,1020,0
780,899,964,1020,0
780,900,963,1019,0
781,899,963,1019,0
781,899,963,1019,0
782,899,963,1019,0
781,899,963,1019,0
780,899,964,1019,0
780,900,963,1019,0
779,900,962,1019,0
778,900,964,1019,0
778,899,963,1019,0
776,900,963,1018,0
775,899,963,1019,0
775,899,963,1019,0
776,900,963,1019,0
776,899,963,1019,0
776,899,963,1019,0
777,899,963,1020,0
776,900,963,1019,0
776,899,963,1020,0
775,900,963,1019,0
775,899,963,1019,0
776,899,963,1019,0
777,900,963,1020,0
778,900,963,1019,0
778,899,963,1019,0
777,900,963,1019,0
777,900,963,1019,0
776,899,963,1019,0
775,900,964,1019,0
775,899,963,1019,0
775,899,963,1019,0
774,900,963,1019,0
775,899,963,1019,0
775,900,963,1019,0
775,899,963,1019,0
775,900,963,1019,0
775,900,963,1020,0
775,899,963,1019,0
774,899,963,1019,0
774,899,963,1019,0
773,899,963,1019,0
774,900,963,1020,0
774,900,963,1019,0
774,899,963,1019,0
775,899,963,1019,0
776,899,963,1020,0
777,899,963,1019,0
777,899,963,1019,0
778,899,964,1020,0
780,899,963,1019,0
784,899,963,1019,0
788,899,964,1019,0
788,899,964,1020,0
786,899,964,1019,0
786,898,963,1019,0
782,898,963,1018,0
781,898,963,1019,0
781,899,963,1019,0
783,899,964,1018,0
783,899,963,1019,0
786,899,963,1019,0
791,898,963,1019,0
794,899,963,1019,0
797,898,964,1019,0
796,898,963,1018,0
796,899,964,1019,0
794,898,964,1019,0
791,898,964,1019,0
789,898,964,1019,0
787,898,964,1019,0
789,898,964,1019,0
790,898,963,1019,0
787,898,963,1019,0
787,898,963,1019,0
788,899,963,1019,0
788,898,963,1019,0
788,898,963,1018,0
790,898,963,1019,0
791,898,963,1019,0
789,897,963,1019,0
790,897,963,1019,0
785,897,963,1019,0
785,898,963,1018,0
783,897,963,1018,0
782,897,963,1019,0
782,898,963,1019,0
786,898,962,1019,0
789,898,963,1019,0
785,898,963,1019,0
787,897,963,1019,0
786,898,963,1019,0
788,898,963,1019,0
790,897,963,1018,0
793,898,963,1019,0
795,897,964,1019,0
792,897,963,1019,0
790,897,963,1019,0
787,897,964,1018,0
786,898,963,1019,0
788,898,963,1018,0
791,897,963,1019,0
792,897,962,1019,0
792,897,963,1019,0
788,896,963,1018,0
784,896,963,1018,0
783,897,962,1018,0
781,897,963,1019,0
779,897,962,1019,0
779,897,962,1019,0
779,897,962,1018,0
780,898,963,1018,0
781,897,961,1019,0
781,897,963,1019,0
781,897,962,1019,0
779,897,962,1018,0
778,897,962,1019,0
778,898,962,1019,0
777,897,962,1019,0
776,898,962,1019,0
775,898,962,1019,0
775,898,962,1019,0
775,897,961,1018,0
776,898,962,1018,0
775,897,962,1019,0
775,898,962,1019,0
774,897,962,1018,0
774,897,962,1019,0
773,898,962,1019,0
773,897,962,1019,0
772,898,962,1019,0
772,898,962,1018,0
773,898,962,1019,0
