NO2,C2H5CH,VOC,CO,CLASS
834,898,960,1018,0
834,898,961,1018,0
834,897,961,1017,0
833,898,960,1017,0
834,898,960,1018,0
834,898,960,1017,0
834,898,961,1018,0
835,898,961,1018,0
834,898,960,1017,0
835,898,960,1018,0
835,898,961,1017,0
834,898,961,1018,0
834,898,961,1018,0
835,898,960,1018,0
834,898,961,1018,0
835,898,961,1018,0
834,898,961,1018,0
835,897,960,1018,0
835,898,961,1016,0
835,898,960,1018,0
834,898,961,1018,0
835,898,960,1018,0
835,898,960,1018,0
835,897,960,1018,0
836,898,961,1017,0
835,898,961,1017,0
835,898,962,1017,0
834,898,961,1018,0
835,898,961,1018,0
835,898,961,1018,0
835,898,961,1017,0
835,898,961,1018,0
836,898,961,1018,0
835,898,961,1017,0
836,897,961,1018,0
835,898,961,1018,0
836,898,962,1018,0
835,898,962,1018,0
836,898,962,1018,0
836,898,961,1018,0
836,898,962,1018,0
835,898,961,1017,0
836,898,961,1018,0
835,898,962,1017,0
836,898,962,1017,0
836,898,962,1018,0
836,898,962,1017,0
836,897,962,1017,0
836,898,962,1018,0
836,898,962,1018,0
836,898,961,1018,0
836,898,962,1018,0
836,898,962,1018,0
836,897,962,1017,0
836,898,962,1017,0
836,898,962,1018,0
836,898,962,1017,0
836,897,962,1017,0
836,897,962,1017,0
836,898,962,1018,0
836,898,962,1017,0
836,897,962,1017,0
835,898,963,1018,0
836,898,962,1017,0
836,898,963,1017,0
836,897,963,1018,0
836,898,962,1017,0
836,898,962,1018,0
836,898,962,1018,0
836,898,962,1017,0
835,898,962,1018,0
835,898,962,1018,0
836,898,963,1017,0
835,897,962,1017,0
836,898,962,1017,0
835,897,962,1018,0
834,898,961,1018,0
836,898,962,1018,0
835,898,962,1017,0
836,898,963,1018,0
835,897,963,1018,0
836,898,962,1017,0
835,897,962,1018,0
836,898,961,1018,0
835,898,963,1017,0
836,897,962,1017,0
836,897,962,1017,0
836,898,962,1018,0
836,898,962,1017,0
835,897,962,1017,0
836,897,962,1018,0
836,897,961,1018,0
835,897,962,1016,0
835,898,962,1018,0
834,897,963,1018,0
835,898,962,1017,0
836,897,961,1018,0
835,897,962,1018,0
835,898,962,1018,0
836,898,962,1018,0
836,898,961,1017,0
836,897,962,1018,0
835,897,962,1018,0
835,898,962,1018,0
836,898,962,1018,0
836,898,963,1018,0
835,898,962,1017,0
835,898,962,1018,0
836,898,962,1017,0
836,897,962,1018,0
835,897,963,1017,0
835,898,962,1018,0
835,897,962,1018,0
836,897,962,1018,0
836,898,961,1018,0
836,897,961,1017,0
836,898,962,1017,0
836,897,963,1017,0
835,897,962,1018,0
836,897,962,1017,0
836,897,963,1018,0
836,897,963,1018,0
835,898,961,1018,0
836,898,962,1017,0
836,898,962,1018,0
